"Id";"代号";"封装";"数量";"名称";"供应商和REF";
1;"J4";"JST_XH_B02B-XH-A_02x2.50mm_Straight";1;"DC12V";;;
2;"C1,C4,C6,C7,C8,C9";"C_0805_HandSoldering";6;"104";;;
3;"C2";"CP_Radial_D6.3mm_P2.50mm";1;"470uF";;;
4;"C3";"CP_Radial_D5.0mm_P2.00mm";1;"220uF";;;
5;"C5";"CP_Radial_D4.0mm_P1.50mm";1;"47uF";;;
6;"D1,D2";"LED_0805_HandSoldering";2;"LED";;;
7;"J1";"JST_XH_B04B-XH-A_04x2.50mm_Straight";1;"Download";;;
8;"J2";"JST_XH_B02B-XH-A_02x2.50mm_Straight";1;"PPM";;;
9;"J3";"JST_XH_B03B-XH-A_03x2.50mm_Straight";1;"BLDC";;;
10;"Q1,Q4,Q7";"SOT-23_Handsoldering";3;"DTC143Z";;;
11;"Q2,Q5,Q8";"SOT-23_Handsoldering";3;"Q_PMOS_GSD";;;
12;"Q3,Q6,Q9";"SOT-23_Handsoldering";3;"Q_NMOS_GSD";;;
13;"R1,R5,R6,R7,R12";"R_0805_HandSoldering";5;"1k";;;
14;"R2,R8,R13";"R_0805_HandSoldering";3;"100";;;
15;"R3,R10,R14";"R_0805_HandSoldering";3;"18K";;;
16;"R4,R9,R11,R15,R16";"R_0805_HandSoldering";5;"470";;;
17;"R17,R18,R19,R23,R24,R25";"R_0805_HandSoldering";6;"10k";;;
18;"R20,R21,R22";"R_0805_HandSoldering";3;"2k";;;
19;"RV1";"Potentiometer_Alps_RK09L_Sleve_Single_Horizontal";1;"RK09L 10K";;;
20;"U1";"SOT-89-3_Handsoldering";1;"L78L05_SOT89";;;
21;"U2";"SOIC-16_3.9x9.9mm_Pitch1.27mm";1;"STC15W401AS-SOP16";;;
22;"J5";"JST_XH_B02B-XH-A_02x2.50mm_Straight";1;"DC5V";;;
23;"J6";"JST_XH_B06B-XH-A_06x2.50mm_Straight";1;"PWM";;;
24;"J7";"JST_VH_B5P-VH-B_5A3x3.96mm_Vertical";1;"BLDC";;;
